Age_rounded,Delta_DM,yerr,Points_per_age,Weights
-900,-2.834502402,0.371022172,6,0.074829932
-820,-3.033210872,0.23984062,2,0.024943311
-650,-4.621296931,0,1,0.012471655
-630,-2.797154869,0.207953268,20,0.249433107
-570,-1.245969839,0.958756745,5,0.062358277
-520,-2.641346587,0.97070597,11,0.137188209
-500,-3.313440065,1.051390646,8,0.099773243
-480,-2.40559884,0.240922784,7,0.087301587
-470,-1.620338641,0.229168569,5,0.062358277
-370,0.356122401,0.50735699,9,0.112244898
-350,-1.160559743,0.629781749,11,0.137188209
-340,-1.919240305,0.122102129,10,0.124716553
-280,-5.088080005,0.077700231,14,0.174603175
-270,-2.350236982,1.076774696,6,0.074829932
-260,-4.799714746,0.75723873,6,0.074829932
-250,-6.757516786,0.809774969,8,0.099773243
-230,-7.960517561,0.146162459,5,0.062358277
-180,-1.54444203,0.654539707,11,0.137188209
-140,-4.071008269,0.393654998,15,0.18707483
-130,-4.099912499,0.227578392,19,0.236961451
-120,-7.45047116,0.58538366,16,0.199546485
-110,-6.895233688,0.91132886,25,0.311791383
-100,-9.031616436,0.469335771,37,0.461451247
-90,-10.84276945,0.474892054,20,0.249433107
-80,-7.861351722,0.42277614,81,1.010204082
-70,-8.501638273,0.287151704,101,1.259637188
-60,-5.539970939,0.593355615,51,0.636054422
-50,-9.12779514,0.841462554,40,0.498866213
-40,-9.069141234,0.854611113,18,0.224489796
-30,-7.395759598,0.194528632,164,2.045351474
-20,-6.36948081,0.343704668,88,1.097505669
-10,-3.55790825,0.092798028,345,4.302721088
0,-4.316417628,0.076853047,1481,18.47052154
