,SAMPLE ID,IGSN,REFERENCES,LATITUDE,LONGITUDE,AGE,ROCK TYPE,ROCK NAME,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,eNd,eNd_i,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,SR87_SR86,SR87_SR86_INI,RB87_SR86,LA,CE,PR,Nd,Sm,EU,GD,TB,DY,HO,ER,TM,YB,LU,TH,NB,TA,U,RB,SR,ZR,HF,Y,BA,geometry,Estimated_Age,Uni_Age,Binned_Age,Binned_Estimated_Age,143Nd_CALC,Delta_DM,Age_rounded
14,208NMNH113716,,"NEWSOM, 1986",-24.98,79.02,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513072,0.513038347,,,,17.315,,15.443,,37.251,,0.703031,,,2.79,9.13,1.68,9.1,3.29,1.22,4.69,,5.67,1.26,3.59,,3.35,0.506,,,,0.038,0.69,99.4,96.7,,34.5,8.73,POINT (79.02 -24.98),23.538101,23.5381012,,20 - 40 Ma,,-1.522349579,20
22,POLARK20-2-261-005,,"NAURET, 2011",80.9243,-2.5253,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512872,0.51287161,,,,17.8605,,15.4181,,37.6406,,0.703637,,,8.1,20.71,3.01,13.9,3.53,1.31,4.02,0.63,3.93,0.79,2.28,0.31,2.11,0.31,0.65,14.9,1.02,0.2,26.7,324,123,2.95,21.8,247,POINT (-2.5253 80.9243),0.38880157,0.388801575,,< 5 Ma,,-5.426559118,0
23,POLARK20-2-261-012,,"NAURET, 2011",80.9243,-2.5253,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512885,0.512884608,,,,17.8616,,15.4197,,37.6457,,0.703635,,,7.8,20.1,2.92,13.5,3.44,1.28,3.92,0.63,3.82,0.77,2.2,0.3,2.02,0.3,0.64,14.5,0.99,0.2,25.7,317,123,2.88,21.8,239,POINT (-2.5253 80.9243),0.38880157,0.388801575,,< 5 Ma,,-5.173247652,0
24,POLARK20-2-261-017,,"NAURET, 2011",80.9243,-2.5253,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512903,0.512902611,,,,17.8826,,15.4205,,37.6651,,0.703649,,,8.2,20.9,3.01,14,3.54,1.31,4.05,0.64,4.03,0.82,2.34,0.32,2.18,0.32,0.67,15.2,1.02,0.21,25.8,318,127,3.04,23,247,POINT (-2.5253 80.9243),0.38880157,0.388801575,,< 5 Ma,,-4.822414456,0
25,POLARK20-2-261-047,,"NAURET, 2011",80.9243,-2.5253,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512901,0.51290061,,,,17.8802,,15.4225,,37.669,,0.703611,,,8.4,21.5,3.16,14.5,3.68,1.37,4.13,0.67,4.14,0.83,2.42,0.33,2.22,0.32,0.69,15.3,1.06,0.21,26.2,318,127,3.04,22.7,255,POINT (-2.5253 80.9243),0.38880157,0.388801575,,< 5 Ma,,-4.861417446,0
27,POLARK20-2-262-021,,"NAURET, 2011",80.91,-2.51,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512853,0.512852623,,,,17.7839,,15.4145,,37.5779,,0.703752,,,9.1,22.9,3.3,15.1,3.7,1.34,4.04,0.63,3.86,0.76,2.19,0.3,2.02,0.3,0.77,17.6,1.24,0.25,32,354,138,3.25,21.7,298,POINT (-2.51 80.91),0.38880157,0.388801575,,< 5 Ma,,-5.79655379,0
28,POLARK20-2-262-034,,"NAURET, 2011",80.91,-2.51,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512829,0.512828643,,,,17.7505,,15.4083,,37.5387,,0.703771,,,13.3,32.4,4.58,20.6,4.78,1.68,4.87,0.72,4.23,0.82,2.29,0.31,2.04,0.3,1.3,28.7,1.99,0.42,52.3,444,182,4.25,22.9,486,POINT (-2.51 80.91),0.38880157,0.388801575,,< 5 Ma,,-6.263863887,0
29,POLARK20-2-262-035,,"NAURET, 2011",80.91,-2.51,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512826,0.512825645,,,,17.7509,,15.4091,,37.5404,,0.703898,,,13.3,32.3,4.6,20.4,4.71,1.68,4.79,0.71,4.15,0.79,2.23,0.3,2.05,0.3,1.27,28.5,1.92,0.4,53.1,444,176,4.03,22.1,488,POINT (-2.51 80.91),0.38880157,0.388801575,,< 5 Ma,,-6.322291665,0
30,POLARK20-2-262-083,,"NAURET, 2011",80.91,-2.51,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512851,0.512850623,,,,17.7831,,15.4133,,37.5734,,0.703776,,,9.2,23.1,3.34,15.3,3.75,1.37,4.09,0.64,3.84,0.76,2.2,0.3,2,0.29,0.78,17.7,1.22,0.25,33.2,354,137,3.21,21.5,300,POINT (-2.51 80.91),0.38880157,0.388801575,,< 5 Ma,,-5.835530684,0
31,POLARK20-2-262-092,,"NAURET, 2011",80.91,-2.51,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512855,0.512854624,,,,17.7776,,15.4122,,37.5656,,0.703474,,,9.1,22.6,3.28,15,3.67,1.36,3.97,0.62,3.77,0.74,2.15,0.29,1.97,0.29,0.84,17.2,1.2,0.25,32,354,134,3.14,20.9,297,POINT (-2.51 80.91),0.38880157,0.388801575,,< 5 Ma,,-5.757567862,0
32,POLARK4-370-005-1,,"MÜHE, 1991; MÜHE, 1993",85.9002,22.7168,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513207,0.51320506,,,,18.023,,15.454,,37.681,,0.703002,,,5.43,13.5,2.12,9.99,3.34,1.18,3.63,0.66,4.44,0.88,2.62,0.34,2.35,0.34,0.37,9.1,,0.13,1.91,165,86,2.24,24,52,POINT (22.7168 85.9002),1.467102,1.467102051,,< 5 Ma,,1.102067142,0
33,POLARK4-370-005-3,,"MÜHE, 1991; MÜHE, 1993",85.9002,22.7168,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513154,0.513152153,,,,17.869,,15.456,,37.558,,0.70284,,,5.38,13.5,2.03,10.24,3.26,1.12,3.82,0.66,4.58,0.88,2.45,0.35,2.36,0.34,0.39,9.35,,0.11,2.23,163,86,2.33,24,54,POINT (22.7168 85.9002),1.467102,1.467102051,,< 5 Ma,,0.071034289,0
34,RIGS1991-0102-009/004A,,"LANYON, 1995",-37.813,132.293,53,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512953,0.512914483,,,,17.641,,15.475,,37.651,,0.703661,,,7.03,18.5,,31.4,5.77,1.59,,0.96,,1.3,,,3.37,0.51,0.013,5.6,,0.028,0.272,157,166,3.61,45,44,POINT (132.293 -37.813),,53,40 - 60 Ma,,,-3.102716475,50
35,RIGS1991-0102-009/004B,,"LANYON, 1995",-37.813,132.293,53,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513002,0.512924134,,,,17.988,,15.488,,37.791,,0.703172,,,7.18,21.4,,5.68,2.11,1.76,,1.04,,1.41,,,3.52,0.5,0.04,6.2,,0.148,0.706,192,177,3.85,46,36,POINT (132.293 -37.813),,53,40 - 60 Ma,,,-2.914610329,50
36,RIGS1991-0102-009/004B4,,"LANYON, 1995",-37.813,132.293,53,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513031,0.51294912,,,,,,,,,,0.703186,,,,,,5.12,2,,,,,,,,,,,5.5,,,0.62,148,183,,50,37,POINT (132.293 -37.813),,53,40 - 60 Ma,,,-2.427619723,50
37,RIGS1991-0102-009/004B5,,"LANYON, 1995",-37.813,132.293,53,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513036,,,,,17.894,,15.464,,37.727,,0.703189,,,,,,,,,,,,,,,,,,6.6,,,14,231,187,,48,35,POINT (132.293 -37.813),,53,40 - 60 Ma,,,,50
39,RIGS1991-0102-010/001B,,"LANYON, 1995",-39.9223,131.977,36,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51312,0.513056723,,,,18.251,,15.489,,37.878,,0.702578,,,,,,2.25,1,,,,,,,,,,0.019,0.4,,0.008,0.11,94.2,31,,17,14,POINT (131.977 -39.9223),,36,20 - 40 Ma,,,-0.811562136,40
40,RIGS1991-0102-010/001C,,"LANYON, 1995",-39.9223,131.977,36,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513093,0.513031086,,,,18.117,,15.464,,37.737,,0.703214,,,1.71,5.53,,4.76,2.07,0.76,,0.47,,0.65,,,1.78,0.23,0.029,0.4,,0.016,0.2,85,51,1.21,22,4,POINT (131.977 -39.9223),,36,20 - 40 Ma,,,-1.311213393,40
42,RIGS1991-0102-011/002A,,"LANYON, 1995",-39.7792,119.745,36,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512966,0.512908391,,,,17.965,,15.494,,37.867,,0.703235,,,3.91,11.5,,4.3,1.74,1.2,,0.79,,1.13,,,2.63,0.35,0.042,2.9,,0.012,0.296,122,91,2.03,33,16,POINT (119.745 -39.7792),,36,20 - 40 Ma,,,-3.702477865,40
43,RIGS1991-0102-011/002B,,"LANYON, 1995",-39.7792,119.745,36,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512979,0.512915725,,,,17.908,,15.499,,37.888,,0.703333,,,,,,2.7,1.2,,,,,,,,,,0.034,3.2,,0.021,0.146,95.5,98,,34,15,POINT (119.745 -39.7792),,36,20 - 40 Ma,,,-3.559532249,40
44,RIGS1991-0102-013/003,,"LANYON, 1995",-37.1667,118.156,66,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512986,0.512891737,,,,18.556,,15.587,,38.726,,0.704325,,,6.21,16.1,,3.6,1.3,1.09,,0.66,,0.93,,,2.3,0.34,0.313,7.9,,0.099,0.774,131,80,1.69,27,80,POINT (118.156 -37.1667),,66,60 - 80 Ma,,,-3.178136318,70
45,RIGS1991-0102-013/003D,,"LANYON, 1995",-37.1667,118.156,66,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512982,0.512887967,,,,18.542,,15.586,,38.721,,0.704592,,,7.92,19.5,,3.47,1.25,1.07,,0.63,,0.93,,,2.26,0.28,0.316,8,,0.103,1.79,137,98,2.17,26,99,POINT (118.156 -37.1667),,66,60 - 80 Ma,,,-3.251618793,70
46,RIGS1991-0102-013/003E,,"LANYON, 1995",-37.1667,118.156,66,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513149,0.513034062,,,,18.297,,15.491,,37.798,,0.702645,,,,,,4.02,1.77,,,,,,,,,,0.045,,,0.028,0.07,89.1,,,,,POINT (118.156 -37.1667),,66,60 - 80 Ma,,,-0.404067805,70
133,DSDP011-0105-041-003/146-149,,"BRYAN, 1977; JANNEY, 2001",34.8953,-69.1733,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513066,0.512823,,,7.5,18.251,18.118,15.531,15.525,37.99,37.818,0.70323,0.70311,,1.76,5.62,1.03,5.78,2.3,0.84,3.4,0.65,4.23,0.97,2.86,0.43,2.7,0.41,0.1,1.41,0.08,0.033,3.07,87,55.5,1.58,26.1,5.53,POINT (-69.1733 34.8953),155.51538,155.5153809,,> 120 Ma,0.512822169,-1.983399342,160
135,DSDP011-0105-043-001/082-085,,"JANNEY, 2001",34.8953,-69.1733,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513065,0.512819,,,7.4,18.189,18.114,15.524,15.52,37.99,37.885,0.70318,0.7031,,1.74,5.7,1.05,5.92,2.38,0.86,3.49,0.67,4.32,0.98,2.88,0.44,2.82,0.42,0.12,1.43,0.08,0.028,0.995,90,56.6,1.6,26.9,7.19,POINT (-69.1733 34.8953),155.51538,155.5153809,,> 120 Ma,0.512817044,-2.061383493,160
137,DSDP039-0355-021-001/100-103,,"JANNEY, 2001",15.72,-30.6,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513105,0.51299,,,8.9,18.863,18.586,15.529,15.516,38.133,38.026,0.70272,0.70259,,3.43,11,1.97,10.9,3.97,1.4,5.72,1.07,6.69,1.45,4.24,0.63,3.99,0.59,0.17,2.86,0.16,0.13,9.45,100,108,2.86,41.9,8.09,POINT (-30.6 15.72),98.05418,98.05417633,,80 - 100 Ma,0.512967956,-0.355343927,100
138,DSDP039-0355-022-005/061-067,,"JANNEY, 2001",15.72,-30.6,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513121,0.513005,,,9.2,18.755,18.637,15.519,15.513,38.111,38.023,0.70267,0.70264,,3.45,11.6,2.08,11.4,4.18,1.47,5.83,1.11,7,1.51,4.47,0.67,4.29,0.63,0.17,3.35,0.19,0.07,0.595,99,120,3.22,41.8,4.82,POINT (-30.6 15.72),98.05418,98.05417633,,80 - 100 Ma,0.512983332,-0.062950957,100
139,DSDP041-0367-039-001/063-067,,"JANNEY, 2001",12.49,-20.05,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513019,0.512803,,,7,22.335,18.185,15.755,15.551,38.198,37.616,0.70359,0.70349,,4.12,11.1,1.88,10.2,3.72,1.41,5.76,1.03,6.7,1.49,4.46,0.67,4.28,0.65,0.38,5.43,0.31,1.19,1.42,124,93.9,2.69,41.3,144,POINT (-20.05 12.49),155.53383,155.5338287,,> 120 Ma,0.512796523,-2.372797507,160
