#,Geochemistry Reference,Province,Location,Sample Name,Rock Type,Latitude,Longitude,Age,Age reference,Sm (ppm),Nd (ppm),Rb (ppm),Sr (ppm),U (ppm),Pb (ppm),Th (ppm),143Nd/144Nd measured,87Sr/86Sr measured,206Pb/204Pb measured,207Pb/204Pb measured,208Pb/204Pb measured,147Sm/144Nd,143Nd/144Nd_i,87Rb/86Sr,87Sr/86Sr_i,238U/204Pb,235U/204Pb,232Th/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i
66,[37],Heard Island,Big Ben Series,s 65104 ,Trachybasalt ,-53.12,73.5,1,[43],,,54.0,616.0,,,6.0,0.512483,0.706115,17.932,15.560,38.471,,,0.254,0.706111,,,,,,
69,[37][54][36],Heard Island,Big Ben Series,s 65151 ,Trachybasalt ,-53.12,73.5,1,[43],9.8,47.7,52.0,604.0,,,7.0,0.512508,0.705995,17.953,15.550,38.420,0.125,0.512507,0.249,0.705991,,,,,,
65,[37],Heard Island,Big Ben Series,s HE43 ,Trachyandesite ,-53.12,73.5,1,[43],,,63.0,772.0,,,,0.512520,0.705969,17.913,15.559,38.412,,,0.236,0.705966,,,,,,
64,[37],Heard Island,Big Ben Series,s 65030 ,Basalt ,-53.12,73.5,1,[43],,,40.0,543.0,,,5.0,0.512537,0.705814,17.958,15.568,38.473,,,0.213,0.705811,,,,,,
68,[37][54],Heard Island,Big Ben Series,s 65143 ,Basalt ,-53.12,73.5,1,[43],8.9,45.0,49.3,638.0,,,9.0,0.512549,0.705676,,,,0.119,0.512548,0.223,0.705673,,,,,,
63,[37],Heard Island,Big Ben Series,s 65082 ,Trachyandesite ,-53.12,73.5,1,[43],11.9,61.8,65.3,997.0,,,7.0,0.512569,0.705648,,,,0.116,0.512568,0.189,0.705645,,,,,,
62,[37],Heard Island,Big Ben Series,s 69287 ,"Basalt, Basanitic ",-53.12,73.5,1,[43],,,70.0,814.0,,,6.0,0.512527,0.705518,,,,,,0.249,0.705514,,,,,,
67,[37][54][36],Heard Island,Big Ben Series,s 65085 ,Basalt ,-53.12,73.5,1,[43],7.6,36.4,40.0,589.0,0.0,3.0,5.0,0.512604,0.705484,18.110,15.564,38.590,0.127,0.512603,0.196,0.705481,0.00,0.00,107.34,,,
71,[37][54],Heard Island,Big Ben Series,s H61 ,Basanite ,-53.12,73.5,1,[43],5.3,23.9,24.2,415.0,,,4.0,0.512648,0.705345,,,,0.134,0.512647,0.168,0.705343,,,,,,
61,[37],Heard Island,Big Ben Series,s HC27 ,Basalt ,-53.12,73.5,1,[43],,,43.0,600.0,,,,0.512592,0.705341,,,,,,0.207,0.705338,,,,,,
59,[37],Heard Island,Big Ben Series,s 65001 ,Basanite ,-53.12,73.5,1,[43],11.1,52.8,44.0,800.0,,,6.0,0.512630,0.705335,,,,0.127,0.512629,0.159,0.705333,,,,,,
