Specimen Code,Specimen Name,Reference,Section,Age,Lat,Long,87Sr/86Sr,87Sr/86Sr_i,87Rb/86Sr,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,206Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb,207Pb/204Pb_i,208Pb/204Pb,208Pb/204Pb_i,176Hf/177Hf,176Hf/177Hf_i,176Lu/177Hf,232Th/238U,Nd,Sm,Lu,235U/204Pb,238U/204Pb,232Th/204Pb,Pb,Th,U,Hf,Rb,Sr
SON0233-015-001,SO233 DR15-1,Homrighausen et al. 2019,Walvis Ridge,70.8,,,0.7046,0.70453,0.064,0.51259,0.51252,0.154,17.8802,17.54,15.5209,15.5,38.1994,37.99,0.282798,0.28282,0.017,1.97,18.8,4.79,0.306,0.22,30.7,60.3,1.15,1.07,0.561,3.18,7.4,335
SON0233-016-001,SO233 DR16-1,Homrighausen et al. 2019,Walvis Ridge,72.4,,,0.7046,0.70438,0.207,0.512603,0.51255,0.119,17.9671,17.85,15.4964,15.49,38.6233,38.4,0.282844,0.28275,0.023,5.89,21,4.16,0.28,0.08,10.4,61.4,3.52,3.31,0.582,2.33,27.7,387
SON0233-019-001A,SO233 DR19-1A,Homrighausen et al. 2019,Walvis Ridge,70.8,,,0.70467,,0.023,0.512567,,0.121,18.0423,,15.5584,,38.4866,,0.282779,,,3.78,60.1,12.09,0.628,0.13,18.3,69.3,5.4,5.74,1.569,8.97,23,2898
SON0233-019-001B,SO233 DR19-1B,Homrighausen et al. 2019,Walvis Ridge,71,,,0.70495,0.70493,0.019,0.512359,0.51231,0.109,18.5331,18.43,15.6364,15.63,38.7511,38.65,0.282779,0.28277,0.01,3.17,93.6,16.97,1.227,0.07,9.1,28.8,11.35,4.96,1.614,7.74,38.7,6013
SON0233-028-001,SO233 DR28-1,Homrighausen et al. 2019,Walvis Ridge,77.2,,,0.70538,,0.345,0.5125,0.51242,0.154,18.0246,17.73,15.5114,15.5,38.6531,38.25,0.28281,0.2828,0.022,4.21,23.6,6.03,0.617,0.18,24.9,104.6,1.59,2.54,0.624,4.33,32.9,276
SON0233-028-003,SO233 DR28-3,Homrighausen et al. 2019,Walvis Ridge,77.2,,,0.70486,0.70427,0.541,0.512513,0.51243,0.165,17.9053,17.64,15.5034,15.49,38.4987,38.2,0.282828,,0.021,3.49,17.6,4.82,0.499,0.16,22.4,78.4,1.22,1.47,0.435,3.26,40.7,218
SON0233-029-001,SO233 DR29-1,Homrighausen et al. 2019,Walvis Ridge,77.2,,,0.70484,0.70459,0.229,0.512506,0.51243,0.158,18.1093,17.9,15.5359,15.53,38.5708,38.39,0.282803,,,2.76,16.9,4.44,0.434,0.13,17.5,48.2,1.93,1.42,0.532,2.94,18.6,235
SON0233-032-001,SO233 DR32-1,Homrighausen et al. 2019,Walvis Ridge,76.9,,,0.70482,,0.182,0.512562,,0.154,17.9255,,15.5295,,38.4076,,,,,2.05,19.2,4.91,0.374,0.16,21.9,44.8,2.03,1.4,0.706,3.61,18.5,293
SON0233-035-012,SO233 DR35-12,Homrighausen et al. 2019,Walvis Ridge,75.4,,,0.70467,0.70458,0.083,0.512592,0.51252,0.156,17.8607,17.75,15.5321,15.53,38.3716,38.19,,,,5.09,20.9,5.43,0.442,0.07,9.7,49.4,1.83,1.39,0.283,3.79,7.8,271
SON0233-041-002,SO233 DR41-2,Homrighausen et al. 2019,Walvis Ridge,81.3,,,0.70426,0.70398,0.24,0.51252,0.51246,0.107,18.5776,18.25,15.5705,15.55,39.0154,38.66,0.282736,,,3.4,47.3,8.39,0.558,0.19,26,88.4,3.65,4.87,1.48,5.45,48.1,580
SON0233-043-001,SO233 DR43-1,Homrighausen et al. 2019,Walvis Ridge,78.8,,,0.7046,0.70447,0.116,0.512591,0.51252,0.144,18.1023,17.94,15.5816,15.57,38.652,38.34,,,,5.88,18.7,4.47,0.267,0.1,13.6,79.7,0.96,1.17,0.206,2.86,9.9,247
SON0233-043-006,SO233 DR43-6,Homrighausen et al. 2019,Walvis Ridge,80,,,0.70447,0.70436,0.218,0.51262,0.51255,0.127,18.2265,18.02,15.5748,15.57,38.6746,38.39,0.28276,0.28276,0.039,4.43,32,6.73,0.345,0.12,16.7,73.9,2.37,2.67,0.623,4.85,30.9,409
SON0233-006-001,SO233 DR6-1,Homrighausen et al. 2019,Walvis Ridge,89.3,,,0.70521,0.70509,0.17,0.512424,0.51238,0.121,18.0693,17.94,15.556,15.55,38.8503,38.65,0.282659,,,4.9,81.6,16.38,0.499,0.12,16.2,79.6,5.29,6.41,1.352,8.55,52.5,895
SON0233-062-001,SO233 DR62-1,Homrighausen et al. 2019,Walvis Ridge,83.9,,,0.70523,,,0.512519,0.51243,0.139,18.1463,17.98,15.5903,15.58,38.6825,38.45,0.282758,,,4.47,32.6,7.52,0.465,0.09,12.5,55.7,2.85,2.42,0.56,5.33,18.8,369
SON0233-062-002,SO233 DR62-2,Homrighausen et al. 2019,Walvis Ridge,84.2,,,0.70526,0.70502,0.198,0.512526,0.51245,0.14,18.1388,18.02,15.59,15.58,38.6567,38.45,0.28279,0.28277,0.014,5.25,35,8.11,0.517,0.07,9.3,48.8,3.49,2.6,0.512,6.04,22.5,
SON0233-064-001,SO233 DR64-1,Homrighausen et al. 2019,Walvis Ridge,87.3,,,0.70506,0.70481,0.208,0.512566,0.51248,0.147,18.0435,17.82,15.5849,15.57,38.5974,38.37,0.282789,0.2828,0.012,3.15,24.5,5.96,0.402,0.12,16.7,52.6,1.98,1.59,0.524,4.22,27.1,378
SON0233-066-002,SO233 DR66-2,Homrighausen et al. 2019,Walvis Ridge,96.7,,,0.70495,0.70478,0.126,0.51261,0.51252,0.143,18.2745,18.06,15.5592,15.55,38.8219,38.39,0.282821,,,6.41,23.2,5.53,0.333,0.1,14.1,90.4,1.54,2.12,0.342,3.82,17.4,398
